APN,New AIN,Old AIN
2040031029,,
2040031030,,
2040031050,2040-031-050,2040-031-050*
2040033033,,
2107011026,,
2107014004,,
2111016023,,
2111025021,,
2112024012,,
2112024025,,
2121005006,2121-005-024,2121-005-006*
2126006014,,
2126023007,,
2129035010,2129-035-083,2129-035-010*
2138013009,,
2149012014,,
2153025014,2153-025-019,2153-025-014*
2153027017,,
2160004003,2160-004-075,2160-004-003*
2161023015,,
2182008020,2182-008-021,2182-008-020*
2203017041,2203-017-046,2203-017-041*
2206035020,,
2209001020,2209-001-020,
2210020017,2210-020-036,2210-020-017*
2210020018,2210-020-036,2210-020-018*
2212010003,,
2213001024,,
2214026021,,
2216013038,,
2216017011,,
2217007037,2217-007-055,2217-007-037*
2217011064,2217-011-064,
2217014010,,
2219023005,2219-023-028,2219-023-005*
2219026021,2219-026-067,2219-026-021*
2219026052,2219-026-067,2219-026-052*
2221021005,,
2224004006,2224-004-084,2224-004-006*
2224008002,,
2224025013,2224-025-034,2224-025-013*
2224028045,,
2225009009,2225-009-016,2225-009-009*
2233014007,,
2233030001,,
2233030024,,
2235002005,2235-002-025,2235-002-005*
2236002012,,
2236008001,2236-008-039,2236-008-001*
2236020017,2236-020-029,2236-020-017*
2236022012,,
2237002023,,
2237020010,,
2237020011,,
2237021014,,
2238002013,,
2238006022,,
2238006032,2238-006-064,2238-006-032*
2239006030,2239-006-043,2239-006-030*
2240012012,2240-012-030,2240-012-012*
2240012013,2240-012-031,2240-012-013*
2240012014,2240-012-031,2240-012-014*
2240013006,2240-013-041,2240-013-006*
2240014025,,
2240019014,,
2240020001,2240-020-029,2240-020-001*
2240020002,,
2240020022,2240-020-028,2240-020-022*
2240021006,2240-021-030,2240-021-006*
2241002015,,
2241003014,,
2241007004,,
2241009019,,
2241009022,2241-009-037,2241-009-022*
2241010009,,
2241011020,2241-011-078,2241-011-020*
2241016011,2241-016-029,2241-016-011*
2241017002,2241-017-026,2241-017-002*
2241017004,2241-017-025,2241-017-004*
2241017006,,
2241017008,,
2241022005,,
2242017148,2242-017-148,
2242023010,2242-023-034,2242-023-010*
2243004007,2243-004-021,2243-004-007*
2243004008,2243-004-021,2243-004-008*
2243004009,2243-004-021,2243-004-009*
2243004010,2243-004-021,2243-004-010*
2243014029,,
2244006002,,
2244012003,,
2244012011,,
2244013003,,
2244018001,2244-018-020,2244-018-001*
2244018018,2244-018-020,2244-018-018*
2244018019,2244-018-020,2244-018-019*
2245027036,2245-027-048,2245-027-036*
